Event ID,Outage Start,YEAR,MONTH,Season,State,Postal Code,Climate Region,NERC Region,Climate Category,Cause Category,Cause Detail,Duration Minutes,Duration Hours,Duration Bucket,Customers Affected,Urban Population Density,Outage Count
480,2006-11-15 13:00:00,2006,11,Fall,Washington,WA,Northwest,WECC,Warm,Severe Weather,Heavy Wind,5855.0,97.58333333333333,More than 3 days,50000.0,2380.0,1
1383,2006-11-15 15:00:00,2006,11,Fall,Georgia,GA,Southeast,SERC,Warm,Severe Weather,,120.0,2.0,Under 1 day,109000.0,1516.0,1
409,2006-11-26 13:00:00,2006,11,Fall,Washington,WA,Northwest,WECC,Warm,Severe Weather,Winter Storm,8940.0,149.0,More than 3 days,63992.0,2380.0,1
720,2006-12-01 18:20:00,2006,12,Winter,Ohio,OH,Central,RFC,Warm,Severe Weather,Heavy Wind,1420.0,23.666666666666668,Under 1 day,59106.0,2033.7,1
1111,2006-12-10 19:35:00,2006,12,Winter,California,CA,West,WECC,Warm,Equipment Failure,Generator Trip,159.0,2.65,Under 1 day,,4303.7,1
484,2006-12-13 04:30:00,2006,12,Winter,Washington,WA,Northwest,WECC,Warm,Severe Weather,Heavy Wind,22769.0,379.48333333333335,More than 3 days,700000.0,2380.0,1
461,2006-12-14 00:01:00,2006,12,Winter,Washington,WA,Northwest,WECC,Warm,Severe Weather,Heavy Wind,2639.0,43.983333333333334,1 to 3 days,175000.0,2380.0,1
476,2006-12-14 05:30:00,2006,12,Winter,Washington,WA,Northwest,WECC,Warm,Severe Weather,Heavy Wind,9630.0,160.5,More than 3 days,172060.0,2380.0,1
831,2006-12-14 12:07:00,2006,12,Winter,Oregon,OR,Northwest,WECC,Warm,Severe Weather,Heavy Wind,4313.0,71.88333333333334,1 to 3 days,111000.0,2804.9,1
478,2006-12-14 17:00:00,2006,12,Winter,Washington,WA,Northwest,WECC,Warm,Severe Weather,Heavy Wind,2820.0,47.0,1 to 3 days,75000.0,2380.0,1
825,2006-12-14 19:00:00,2006,12,Winter,Oregon,OR,Northwest,WECC,Warm,Severe Weather,Heavy Wind,4380.0,73.0,More than 3 days,249500.0,2804.9,1
836,2006-12-16 19:30:00,2006,12,Winter,Oregon,OR,Northwest,WECC,Warm,Severe Weather,Wildfire,1050.0,17.5,Under 1 day,84500.0,2804.9,1
1107,2006-12-26 00:01:00,2006,12,Winter,California,CA,West,WECC,Warm,Severe Weather,,8472.0,141.2,More than 3 days,850068.0,4303.7,1
1351,2006-12-30 22:25:00,2006,12,Winter,Nebraska,NE,West North Central,MRO,Warm,Severe Weather,,9600.0,160.0,More than 3 days,15000.0,2549.1,1
163,2007-01-13 07:30:00,2007,1,Winter,Michigan,MI,East North Central,RFC,Warm,Severe Weather,Winter Storm,9150.0,152.5,More than 3 days,129607.0,2034.1,1
416,2007-01-16 02:00:00,2007,1,Winter,Washington,WA,Northwest,WECC,Warm,Severe Weather,Heavy Wind,2040.0,34.0,1 to 3 days,110433.0,2380.0,1
571,2007-02-13 17:00:00,2007,2,Winter,Maryland,MD,Northeast,RFC,Normal,Severe Weather,Winter Storm,5790.0,96.5,More than 3 days,155183.0,2511.4,1
910,2007-02-24 18:00:00,2007,2,Winter,Iowa,IA,East North Central,MRO,Normal,Severe Weather,Winter Storm,347.0,5.783333333333333,Under 1 day,140000.0,2045.8,1
